pair_order,pair_id,from_order,from_station_id,from_station_name,to_order,to_station_id,to_station_name,w1_distance_m,distance_km,w2_average_lanes,w3_protection_proxy,w3_child_protection_proxy,w3_senior_protection_proxy,w3_disabled_protection_proxy,w3_classification,w4_average_absolute_grade_pct,w4_classification
1,ST001__ST002,1,ST001,월곶역,2,ST002,월곶포구,619.0,0.619,1.5532421960245575,0.149164241,0.149164241,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.47799073,PRELIMINARY_90M
2,ST001__ST003,1,ST001,월곶역,3,ST003,배곧한울공원,7959.0,7.959,2.7809772669852264,0.119946818,0.119946818,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.288859792,PRELIMINARY_90M
3,ST001__ST004,1,ST001,월곶역,4,ST004,배곧중심상가,4737.0,4.737,3.465738984511636,0.156110614,0.156110614,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.268327568,PRELIMINARY_90M
4,ST001__ST005,1,ST001,월곶역,5,ST005,배곧중·고등학교,4449.0,4.449,3.024333047970285,0.232362051,0.232362051,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.296898482,PRELIMINARY_90M
5,ST001__ST006,1,ST001,월곶역,6,ST006,시흥시청 본청,8097.0,8.097,2.218746574450684,0.109475795,0.109475795,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.677605889,PRELIMINARY_90M
6,ST001__ST007,1,ST001,월곶역,7,ST007,장현지구,6606.0,6.606,2.2379457054195973,0.124628605,0.124628605,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.757575321,PRELIMINARY_90M
7,ST001__ST008,1,ST001,월곶역,8,ST008,시흥능곡역,8941.0,8.941,2.198123695182556,0.132917083,0.132917083,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.643029122,PRELIMINARY_90M
8,ST001__ST009,1,ST001,월곶역,9,ST009,능곡중앙공원,9589.0,9.589,2.1992660976369445,0.186186101,0.173782985,0.062235777,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.713322114,PRELIMINARY_90M
9,ST001__ST010,1,ST001,월곶역,10,ST010,은계호수공원,11694.0,11.694,3.0834271826948316,0.243297008,0.212935672,0.093952653,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.568536826,PRELIMINARY_90M
10,ST001__ST011,1,ST001,월곶역,11,ST011,배곧생명공원,5473.0,5.473,3.399135690853287,0.159476951,0.159476951,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.230120641,PRELIMINARY_90M
