from_station_id,to_station_id,reference_distance_km,structure_distance_km,distance_stretch,structure
ST001,ST002,0.619,0.619,1.0,CANDIDATE_GRAPH
ST001,ST003,6.8,6.8,1.0,CANDIDATE_GRAPH
ST001,ST004,3.811,3.811,1.0,CANDIDATE_GRAPH
ST001,ST005,3.419,3.419,1.0,CANDIDATE_GRAPH
ST001,ST006,7.161,7.161,1.0,CANDIDATE_GRAPH
ST001,ST007,6.545,6.545,1.0,CANDIDATE_GRAPH
ST001,ST008,8.055,8.055,1.0,CANDIDATE_GRAPH
ST001,ST009,8.887,8.887,1.0,CANDIDATE_GRAPH
ST001,ST010,11.633,11.633,1.0,CANDIDATE_GRAPH
ST001,ST011,4.454,4.454,1.0,CANDIDATE_GRAPH
ST001,ST012,9.602,9.602,1.0,CANDIDATE_GRAPH
ST001,ST013,9.482,9.482,1.0,CANDIDATE_GRAPH
ST001,ST014,10.345,10.345,1.0,CANDIDATE_GRAPH
ST001,ST015,11.924,11.924,1.0,CANDIDATE_GRAPH
ST001,ST016,10.361,10.361,1.0,CANDIDATE_GRAPH
ST001,ST017,5.41,5.41,1.0,CANDIDATE_GRAPH
ST001,ST018,6.58,6.58,1.0,CANDIDATE_GRAPH
ST001,ST019,6.5889999999999995,6.5889999999999995,1.0,CANDIDATE_GRAPH
ST001,ST020,7.875,7.875,1.0,CANDIDATE_GRAPH
ST001,ST021,9.161000000000001,9.161000000000001,1.0,CANDIDATE_GRAPH
ST001,ST022,9.935,9.935,1.0,CANDIDATE_GRAPH
ST001,ST023,4.925,4.925,1.0,CANDIDATE_GRAPH
ST001,ST024,12.299999999999999,12.299999999999999,1.0,CANDIDATE_GRAPH
ST001,ST025,13.215,13.215,1.0,CANDIDATE_GRAPH
ST001,ST026,11.399000000000001,11.399000000000001,1.0,CANDIDATE_GRAPH
ST001,ST027,11.022,11.022,1.0,CANDIDATE_GRAPH
ST001,ST028,11.775,11.775,1.0,CANDIDATE_GRAPH
ST001,ST029,8.007,8.007,1.0,CANDIDATE_GRAPH
ST001,ST030,5.974,5.974,1.0,CANDIDATE_GRAPH
ST001,ST031,4.665,4.665,1.0,CANDIDATE_GRAPH
ST001,ST032,9.175,9.175,1.0,CANDIDATE_GRAPH
ST001,ST033,9.479,9.479,1.0,CANDIDATE_GRAPH
ST001,ST034,8.216000000000001,8.216000000000001,1.0,CANDIDATE_GRAPH
ST001,ST035,7.8629999999999995,7.8629999999999995,1.0,CANDIDATE_GRAPH
ST001,ST036,8.507,8.507,1.0,CANDIDATE_GRAPH
ST001,ST037,8.983,8.983,1.0,CANDIDATE_GRAPH
ST001,ST038,9.128,9.128,1.0,CANDIDATE_GRAPH
ST001,ST039,8.889,8.889,1.0,CANDIDATE_GRAPH
ST001,ST040,5.747,5.747,1.0,CANDIDATE_GRAPH
ST001,ST041,10.347999999999999,10.347999999999999,1.0,CANDIDATE_GRAPH
ST001,ST042,7.559,7.559,1.0,CANDIDATE_GRAPH
ST001,ST043,7.173,7.173,1.0,CANDIDATE_GRAPH
ST001,ST044,7.885,7.885,1.0,CANDIDATE_GRAPH
ST001,ST045,6.502,6.502,1.0,CANDIDATE_GRAPH
ST001,ST046,2.998,2.998,1.0,CANDIDATE_GRAPH
ST001,ST047,5.936999999999999,5.936999999999999,1.0,CANDIDATE_GRAPH
ST001,ST048,6.497999999999999,6.497999999999999,1.0,CANDIDATE_GRAPH
ST001,ST049,11.303999999999998,11.303999999999998,1.0,CANDIDATE_GRAPH
ST001,ST050,5.361000000000001,5.361000000000001,1.0,CANDIDATE_GRAPH
ST001,ST051,8.36,8.36,1.0,CANDIDATE_GRAPH
ST001,ST052,6.035,6.035,1.0,CANDIDATE_GRAPH
ST001,ST053,9.285,9.285,1.0,CANDIDATE_GRAPH
ST001,ST054,1.911,1.911,1.0,CANDIDATE_GRAPH
ST001,ST055,10.682,10.682,1.0,CANDIDATE_GRAPH
ST002,ST003,6.181,6.181,1.0,CANDIDATE_GRAPH
ST002,ST004,3.192,3.192,1.0,CANDIDATE_GRAPH
ST002,ST005,2.8,2.8,1.0,CANDIDATE_GRAPH
ST002,ST006,6.542,6.542,1.0,CANDIDATE_GRAPH
ST002,ST007,5.926,5.926,1.0,CANDIDATE_GRAPH
ST002,ST008,7.436,7.436,1.0,CANDIDATE_GRAPH
ST002,ST009,8.268,8.268,1.0,CANDIDATE_GRAPH
ST002,ST010,11.014,11.014,1.0,CANDIDATE_GRAPH
ST002,ST011,3.835,3.835,1.0,CANDIDATE_GRAPH
ST002,ST012,8.983,8.983,1.0,CANDIDATE_GRAPH
ST002,ST013,8.913,8.913,1.0,CANDIDATE_GRAPH
ST002,ST014,9.776,9.776,1.0,CANDIDATE_GRAPH
ST002,ST015,11.305,11.305,1.0,CANDIDATE_GRAPH
ST002,ST016,9.742,9.742,1.0,CANDIDATE_GRAPH
ST002,ST017,4.791,4.791,1.0,CANDIDATE_GRAPH
ST002,ST018,5.961,5.961,1.0,CANDIDATE_GRAPH
ST002,ST019,5.97,5.97,1.0,CANDIDATE_GRAPH
ST002,ST020,7.256,7.256,1.0,CANDIDATE_GRAPH
ST002,ST021,8.542,8.542,1.0,CANDIDATE_GRAPH
ST002,ST022,9.315999999999999,9.315999999999999,1.0,CANDIDATE_GRAPH
ST002,ST023,4.306,4.306,1.0,CANDIDATE_GRAPH
ST002,ST024,11.681,11.681,1.0,CANDIDATE_GRAPH
ST002,ST025,12.596,12.596,1.0,CANDIDATE_GRAPH
ST002,ST026,10.780000000000001,10.780000000000001,1.0,CANDIDATE_GRAPH
ST002,ST027,10.403,10.403,1.0,CANDIDATE_GRAPH
ST002,ST028,11.156,11.156,1.0,CANDIDATE_GRAPH
ST002,ST029,8.350999999999999,8.350999999999999,1.0,CANDIDATE_GRAPH
ST002,ST030,5.355,5.355,1.0,CANDIDATE_GRAPH
ST002,ST031,4.046,4.046,1.0,CANDIDATE_GRAPH
ST002,ST032,8.556,8.556,1.0,CANDIDATE_GRAPH
ST002,ST033,8.86,8.86,1.0,CANDIDATE_GRAPH
ST002,ST034,7.597,7.597,1.0,CANDIDATE_GRAPH
ST002,ST035,7.244,7.244,1.0,CANDIDATE_GRAPH
ST002,ST036,7.888,7.888,1.0,CANDIDATE_GRAPH
ST002,ST037,8.364,8.364,1.0,CANDIDATE_GRAPH
ST002,ST038,8.509,8.509,1.0,CANDIDATE_GRAPH
ST002,ST039,8.284,8.284,1.0,CANDIDATE_GRAPH
ST002,ST040,5.178,5.178,1.0,CANDIDATE_GRAPH
ST002,ST041,9.729,9.729,1.0,CANDIDATE_GRAPH
ST002,ST042,6.94,6.94,1.0,CANDIDATE_GRAPH
ST002,ST043,6.554,6.554,1.0,CANDIDATE_GRAPH
ST002,ST044,7.266,7.266,1.0,CANDIDATE_GRAPH
ST002,ST045,5.883,5.883,1.0,CANDIDATE_GRAPH
ST002,ST046,2.379,2.379,1.0,CANDIDATE_GRAPH
ST002,ST047,5.318,5.318,1.0,CANDIDATE_GRAPH
ST002,ST048,5.879,5.879,1.0,CANDIDATE_GRAPH
ST002,ST049,10.684999999999999,10.684999999999999,1.0,CANDIDATE_GRAPH
ST002,ST050,4.742,4.742,1.0,CANDIDATE_GRAPH
ST002,ST051,7.741,7.741,1.0,CANDIDATE_GRAPH
ST002,ST052,5.430000000000001,5.430000000000001,1.0,CANDIDATE_GRAPH
ST002,ST053,8.666,8.666,1.0,CANDIDATE_GRAPH
ST002,ST054,1.292,1.292,1.0,CANDIDATE_GRAPH
ST002,ST055,10.063,10.063,1.0,CANDIDATE_GRAPH
ST003,ST004,4.263,4.263,1.0,CANDIDATE_GRAPH
ST003,ST005,4.21,4.21,1.0,CANDIDATE_GRAPH
ST003,ST006,12.193999999999999,12.193999999999999,1.0,CANDIDATE_GRAPH
ST003,ST007,11.892,11.892,1.0,CANDIDATE_GRAPH
ST003,ST008,13.004999999999999,13.004999999999999,1.0,CANDIDATE_GRAPH
ST003,ST009,13.838,13.838,1.0,CANDIDATE_GRAPH
ST003,ST010,15.987,15.987,1.0,CANDIDATE_GRAPH
ST003,ST011,3.1750000000000003,3.1750000000000003,1.0,CANDIDATE_GRAPH
ST003,ST012,13.626,13.626,1.0,CANDIDATE_GRAPH
ST003,ST013,14.001,14.001,1.0,CANDIDATE_GRAPH
ST003,ST014,15.006,15.006,1.0,CANDIDATE_GRAPH
ST003,ST015,16.9,16.9,1.0,CANDIDATE_GRAPH
ST003,ST016,14.75,14.75,1.0,CANDIDATE_GRAPH
ST003,ST017,10.538,10.538,1.0,CANDIDATE_GRAPH
ST003,ST018,4.966,4.966,1.0,CANDIDATE_GRAPH
