structure,connected,edge_count,total_w1_distance_km,total_composite_cost,bridge_count,max_degree,average_shortest_path_km,diameter_km,mean_distance_stretch,max_distance_stretch,scenario
MST,True,54,201.835,16.421528846164044,54,7,21.010404040404037,45.953,3.098038323092097,60.40217391304348,balanced
T2_SPANNER,True,269,1600.603,103.21670971191294,0,16,10.520701683501684,23.093,1.4749652265459383,22.777056277056275,balanced
DEGREE_LIMIT_3,True,54,198.157,16.82663792975941,54,3,28.140308417508418,65.956,4.101708437909879,77.11229946524064,balanced
MST,True,54,91.967,12.53171806393983,54,4,18.179066666666667,44.12499999999999,2.118333998362993,21.406917599186166,distance_focus
T2_SPANNER,True,169,498.324,50.8376751946042,0,12,9.651636363636364,24.437,1.1065929386222186,5.108267716535432,distance_focus
DEGREE_LIMIT_3,True,54,92.5,12.586878201238237,54,3,19.375046464646463,51.42699999999999,2.2322024236672404,23.346897253306203,distance_focus
MST,True,54,237.149,17.2597376537605,54,13,23.16135488215489,60.659000000000006,3.6575549831645287,59.349753694581274,lane_focus
T2_SPANNER,True,246,1448.496,99.11987746869144,0,20,10.816498316498317,23.202,1.5492526283825312,36.18449197860962,lane_focus
DEGREE_LIMIT_3,True,54,216.466,17.90718081394005,54,3,31.912080808080805,88.172,4.817228953868725,101.36580086580086,lane_focus
MST,True,54,215.461,13.184939457504129,54,10,22.527601346801344,53.546,3.224298428737167,66.4580745341615,protection_focus
T2_SPANNER,True,188,1122.715,60.74965427307936,0,17,11.649401346801344,23.811999999999998,1.7555486222794643,37.66489361702127,protection_focus
DEGREE_LIMIT_3,True,54,195.882,14.284423607511968,54,3,25.66384646464647,58.198,3.953696883663312,79.11436170212765,protection_focus
MST,True,54,153.085,14.119426370910235,54,7,21.257080134680137,47.068000000000005,2.8210946614136803,27.36796536796537,slope_focus
T2_SPANNER,True,235,1203.737,80.07323101449047,0,12,10.160839057239057,23.968,1.2821095172520394,18.684782608695652,slope_focus
DEGREE_LIMIT_3,True,54,160.812,14.29224515911458,54,3,22.528657239057235,54.806000000000004,3.0733267916406164,62.0614973262032,slope_focus
