case_a,case_b,jaccard
balanced|MST,balanced|T2_SPANNER,0.2
balanced|MST,balanced|DEGREE_LIMIT_3,0.4794520547945205
balanced|MST,distance_focus|MST,0.21348314606741572
balanced|MST,distance_focus|T2_SPANNER,0.17989417989417988
balanced|MST,distance_focus|DEGREE_LIMIT_3,0.22727272727272727
balanced|MST,lane_focus|MST,0.3333333333333333
balanced|MST,lane_focus|T2_SPANNER,0.15234375
balanced|MST,lane_focus|DEGREE_LIMIT_3,0.22727272727272727
balanced|MST,protection_focus|MST,0.3333333333333333
balanced|MST,protection_focus|T2_SPANNER,0.17391304347826086
balanced|MST,protection_focus|DEGREE_LIMIT_3,0.22727272727272727
balanced|MST,slope_focus|MST,0.3333333333333333
balanced|MST,slope_focus|T2_SPANNER,0.15918367346938775
balanced|MST,slope_focus|DEGREE_LIMIT_3,0.2857142857142857
balanced|T2_SPANNER,balanced|DEGREE_LIMIT_3,0.16546762589928057
balanced|T2_SPANNER,distance_focus|MST,0.09090909090909091
balanced|T2_SPANNER,distance_focus|T2_SPANNER,0.20604395604395603
balanced|T2_SPANNER,distance_focus|DEGREE_LIMIT_3,0.09090909090909091
balanced|T2_SPANNER,lane_focus|MST,0.14893617021276595
balanced|T2_SPANNER,lane_focus|T2_SPANNER,0.3699731903485255
balanced|T2_SPANNER,lane_focus|DEGREE_LIMIT_3,0.13286713286713286
balanced|T2_SPANNER,protection_focus|MST,0.125
balanced|T2_SPANNER,protection_focus|T2_SPANNER,0.265625
balanced|T2_SPANNER,protection_focus|DEGREE_LIMIT_3,0.11724137931034483
balanced|T2_SPANNER,slope_focus|MST,0.11724137931034483
balanced|T2_SPANNER,slope_focus|T2_SPANNER,0.28205128205128205
balanced|T2_SPANNER,slope_focus|DEGREE_LIMIT_3,0.12110726643598616
balanced|DEGREE_LIMIT_3,distance_focus|MST,0.27058823529411763
balanced|DEGREE_LIMIT_3,distance_focus|T2_SPANNER,0.21195652173913043
balanced|DEGREE_LIMIT_3,distance_focus|DEGREE_LIMIT_3,0.2558139534883721
balanced|DEGREE_LIMIT_3,lane_focus|MST,0.27058823529411763
balanced|DEGREE_LIMIT_3,lane_focus|T2_SPANNER,0.12595419847328243
balanced|DEGREE_LIMIT_3,lane_focus|DEGREE_LIMIT_3,0.2857142857142857
balanced|DEGREE_LIMIT_3,protection_focus|MST,0.22727272727272727
balanced|DEGREE_LIMIT_3,protection_focus|T2_SPANNER,0.13445378151260504
balanced|DEGREE_LIMIT_3,protection_focus|DEGREE_LIMIT_3,0.2857142857142857
balanced|DEGREE_LIMIT_3,slope_focus|MST,0.21348314606741572
balanced|DEGREE_LIMIT_3,slope_focus|T2_SPANNER,0.13147410358565736
