station_order,station_id,station_name,latitude,longitude,crs,original_latitude,original_longitude,coordinate_adjusted,coordinate_adjustment_reason,source_row
1,ST001,월곶역,37.3914796,126.7422007,EPSG:4326,37.3914796,126.7422007,N,,2
2,ST002,월곶포구,37.3885588,126.7392253,EPSG:4326,37.3885588,126.7392253,N,,3
3,ST003,배곧한울공원,37.3545775,126.7025649,EPSG:4326,37.3545775,126.7025649,N,,4
4,ST004,배곧중심상가,37.369183,126.7318841,EPSG:4326,37.369183,126.7318841,N,,5
5,ST005,배곧중·고등학교,37.3747941,126.7324508,EPSG:4326,37.3747941,126.7324508,N,,6
6,ST006,시흥시청 본청,37.3793639,126.8030465,EPSG:4326,37.3793639,126.8030465,N,,7
7,ST007,장현지구,37.3822454,126.7976714,EPSG:4326,37.3822454,126.7976714,N,,8
8,ST008,시흥능곡역,37.3703518,126.8075312,EPSG:4326,37.3703518,126.8075312,N,,9
9,ST009,능곡중앙공원,37.3674688,126.8142652,EPSG:4326,37.3674688,126.8142652,N,,10
10,ST010,은계호수공원,37.4426698,126.8042554,EPSG:4326,37.4426698,126.8042554,N,,11
11,ST011,배곧생명공원,37.3699695,126.7247896,EPSG:4326,37.3699695,126.7247896,N,,12
12,ST012,신천역,37.4384371,126.7861775,EPSG:4326,37.4384371,126.7861775,N,,13
13,ST013,삼미시장,37.4401414,126.7839911,EPSG:4326,37.4401414,126.7839911,N,,14
14,ST014,시흥대야역,37.4491937,126.7927431,EPSG:4326,37.4491937,126.7927431,N,,15
15,ST015,목감택지개발예정지구,37.3757447,126.8536729,EPSG:4326,37.3757447,126.8536729,N,,16
16,ST016,물왕호수,37.3838098,126.8384809,EPSG:4326,37.3838098,126.8384809,N,,17
17,ST017,장곡동,37.379307,126.7847164,EPSG:4326,37.379307,126.7847164,N,,18
18,ST018,정왕역,37.3515538,126.742754,EPSG:4326,37.3515538,126.742754,N,,19
19,ST019,시화병원,37.3505304,126.7389239,EPSG:4326,37.3505304,126.7389239,N,,20
20,ST020,시화공업단지[왼쪽부근],37.3406364,126.738924,EPSG:4326,37.3406364,126.738924,N,,21
21,ST021,오이도 포구 해양관광 단지,37.3421677,126.6888685,EPSG:4326,37.3421677,126.6888685,N,,22
22,ST022,오이도박물관,37.3355397,126.6914863,EPSG:4326,37.3355397,126.6914863,N,,23
23,ST023,오이도역,37.3624824,126.7370532,EPSG:4326,37.3624824,126.7370532,N,,24
24,ST024,목감고등학교,37.3725593,126.854912,EPSG:4326,37.3725593,126.854912,N,,25
25,ST025,목감동행정복지센터,37.3814088,126.8589134,EPSG:4326,37.3814088,126.8589134,N,,26
26,ST026,은계파크자이,37.4349288,126.8010573,EPSG:4326,37.4349288,126.8010573,N,,27
27,ST027,은행동행정복지센터,37.4361038,126.7975787,EPSG:4326,37.4361038,126.7975787,N,,28
28,ST028,매화산업단지,37.4131519,126.819963,EPSG:4326,37.4131519,126.819963,N,,29
29,ST029,관곡공원,37.3993726,126.8002135,EPSG:4326,37.3993726,126.8002135,N,,30
30,ST030,장곡도서관,37.3774407,126.7827885,EPSG:4326,37.3774407,126.7827885,N,,31
31,ST031,마전저수지,37.3751132,126.7699997,EPSG:4326,37.3751132,126.7699997,N,,32
